Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2023-12-08,TikTok,Positive,Jakarta,6285,Text,@snackattack | SwayTea,Promo
2023-12-02,TikTok,Neutral,Bandung,4191,Image,@drinkculture | SwayTea,Review
2023-12-24,X/Twitter,Negative,Makassar,7505,Carousel,@tastebuds.id | SwayTea,Collab
2023-12-20,X/Twitter,Positive,Denpasar,2358,Carousel,@kulinerhits | SwayTea,Product Launch
2023-12-05,TikTok,Positive,Bandung,9000,Carousel,@snackattack | SwayTea,Product Launch
2023-12-19,Instagram,Positive,Yogyakarta,14821,Text,@kulinerhits | SwayTea,Collab
2023-12-23,X/Twitter,Positive,Jakarta,1529,Image,@kulinerhits | SwayTea,Promo
2023-12-13,X/Twitter,Positive,Surabaya,17017,Image,@genzfoodie | SwayTea,Behind the Scenes
2023-12-21,Instagram,Positive,Denpasar,7520,Image,@drinkculture | SwayTea,Behind the Scenes
2023-12-11,X/Twitter,Positive,Jakarta,9684,Image,@kulinerhits | SwayTea,Promo
2023-12-09,X/Twitter,Positive,Bandung,15307,Video,@genzfoodie | SwayTea,Collab
2023-12-03,YouTube,Positive,Makassar,3281,Image,@tastebuds.id | SwayTea,Collab
2023-12-31,X/Twitter,Neutral,Makassar,15525,Carousel,@tastebuds.id | SwayTea,Promo
2023-12-06,TikTok,Positive,Denpasar,18296,Image,@snackattack | SwayTea,Behind the Scenes
2023-12-09,Instagram,Positive,Surabaya,2631,Text,@tastebuds.id | SwayTea,Collab
2023-12-10,X/Twitter,Neutral,Surabaya,11740,Video,@tastebuds.id | SwayTea,Collab
2023-12-07,TikTok,Neutral,Surabaya,442,Carousel,@drinkculture | SwayTea,Promo
2023-12-17,YouTube,Neutral,Denpasar,10712,Video,@drinkculture | SwayTea,Collab
2023-12-15,X/Twitter,Positive,Medan,19229,Carousel,@kulinerhits | SwayTea,Collab
2023-12-23,TikTok,Negative,Jakarta,9688,Text,@genzfoodie | SwayTea,Product Launch
2023-12-27,Instagram,Positive,Yogyakarta,19157,Image,@kulinerhits | SwayTea,Collab
2023-12-10,YouTube,Negative,Bandung,2747,Carousel,@drinkculture | SwayTea,Behind the Scenes
2023-12-06,TikTok,Positive,Denpasar,15661,Text,@genzfoodie | SwayTea,Product Launch
2023-12-27,TikTok,Neutral,Bandung,16858,Video,@snackattack | SwayTea,Product Launch
2023-12-27,YouTube,Neutral,Jakarta,3456,Video,@genzfoodie | SwayTea,Behind the Scenes
2023-12-07,X/Twitter,Positive,Surabaya,8659,Carousel,@genzfoodie | SwayTea,Review
2023-12-10,X/Twitter,Neutral,Makassar,16570,Image,@drinkculture | SwayTea,Promo
2023-12-21,Instagram,Positive,Yogyakarta,9549,Carousel,@kulinerhits | SwayTea,Review
2023-12-08,Instagram,Neutral,Makassar,2938,Image,@genzfoodie | SwayTea,Collab
2023-12-30,Instagram,Positive,Denpasar,12118,Image,@genzfoodie | SwayTea,Product Launch
2023-12-17,X/Twitter,Positive,Medan,8024,Video,@drinkculture | SwayTea,Collab
2023-12-23,Instagram,Positive,Denpasar,14152,Image,@genzfoodie | SwayTea,Behind the Scenes
2023-12-18,Instagram,Neutral,Yogyakarta,16887,Text,@drinkculture | SwayTea,Promo
2023-12-24,X/Twitter,Neutral,Jakarta,18115,Carousel,@snackattack | SwayTea,Review
2023-12-07,TikTok,Positive,Medan,14882,Image,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-03,X/Twitter,Positive,Makassar,3757,Text,@genzfoodie | SwayTea,Behind the Scenes
2023-12-11,YouTube,Negative,Makassar,218,Image,@genzfoodie | SwayTea,Promo
2023-12-08,TikTok,Neutral,Denpasar,6072,Carousel,@drinkculture | SwayTea,Collab
2023-12-08,Instagram,Negative,Jakarta,6418,Carousel,@tastebuds.id | SwayTea,Product Launch
2023-12-17,TikTok,Neutral,Denpasar,103,Video,@tastebuds.id | SwayTea,Product Launch
2023-12-21,YouTube,Positive,Denpasar,4014,Carousel,@tastebuds.id | SwayTea,Product Launch
2023-12-15,Instagram,Positive,Jakarta,11371,Image,@snackattack | SwayTea,Review
2023-12-28,TikTok,Neutral,Makassar,5283,Text,@snackattack | SwayTea,Behind the Scenes
2023-12-01,X/Twitter,Neutral,Medan,9184,Text,@snackattack | SwayTea,Product Launch
2023-12-17,TikTok,Neutral,Surabaya,3577,Video,@tastebuds.id | SwayTea,Review
2023-12-13,Instagram,Neutral,Medan,12368,Carousel,@kulinerhits | SwayTea,Review
2023-12-05,TikTok,Neutral,Medan,13576,Text,@kulinerhits | SwayTea,Promo
2023-12-22,YouTube,Neutral,Denpasar,17072,Text,@genzfoodie | SwayTea,Promo
2023-12-27,TikTok,Negative,Medan,1787,Text,@tastebuds.id | SwayTea,Collab
2023-12-15,YouTube,Positive,Yogyakarta,17243,Video,@snackattack | SwayTea,Product Launch
2023-12-31,X/Twitter,Neutral,Bandung,3307,Carousel,@kulinerhits | SwayTea,Promo
2023-12-06,TikTok,Neutral,Bandung,357,Image,@genzfoodie | SwayTea,Review
2023-12-13,Instagram,Positive,Denpasar,15182,Video,@kulinerhits | SwayTea,Collab
2023-12-18,TikTok,Neutral,Medan,2096,Image,@kulinerhits | SwayTea,Product Launch
2023-12-15,X/Twitter,Neutral,Surabaya,3976,Video,@drinkculture | SwayTea,Review
2023-12-29,TikTok,Positive,Denpasar,8754,Image,@kulinerhits | SwayTea,Collab
2023-12-08,TikTok,Positive,Denpasar,5013,Video,@kulinerhits | SwayTea,Product Launch
2023-12-20,TikTok,Positive,Makassar,15369,Video,@drinkculture | SwayTea,Review
2023-12-27,Instagram,Neutral,Denpasar,12124,Text,@tastebuds.id | SwayTea,Review
2023-12-17,Instagram,Positive,Jakarta,15962,Carousel,@tastebuds.id | SwayTea,Promo
2023-12-09,TikTok,Neutral,Surabaya,9231,Image,@drinkculture | SwayTea,Promo
2023-12-11,YouTube,Neutral,Bandung,14579,Text,@kulinerhits | SwayTea,Promo
2023-12-06,Instagram,Positive,Surabaya,18868,Text,@kulinerhits | SwayTea,Behind the Scenes
2023-12-11,YouTube,Neutral,Yogyakarta,2338,Video,@drinkculture | SwayTea,Review
2023-12-23,YouTube,Positive,Bandung,9448,Text,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-15,TikTok,Positive,Jakarta,7075,Carousel,@snackattack | SwayTea,Product Launch
2023-12-14,YouTube,Neutral,Jakarta,2531,Text,@kulinerhits | SwayTea,Behind the Scenes
2023-12-28,TikTok,Neutral,Jakarta,2356,Image,@drinkculture | SwayTea,Review
2023-12-14,X/Twitter,Positive,Surabaya,16068,Carousel,@genzfoodie | SwayTea,Behind the Scenes
2023-12-12,TikTok,Positive,Jakarta,17003,Video,@kulinerhits | SwayTea,Review
2023-12-16,Instagram,Positive,Yogyakarta,2713,Text,@drinkculture | SwayTea,Promo
2023-12-20,Instagram,Positive,Medan,8777,Video,@tastebuds.id | SwayTea,Product Launch
2023-12-27,X/Twitter,Positive,Yogyakarta,16128,Image,@genzfoodie | SwayTea,Product Launch
2023-12-13,YouTube,Positive,Surabaya,5735,Video,@genzfoodie | SwayTea,Promo
2023-12-06,YouTube,Neutral,Surabaya,19625,Video,@tastebuds.id | SwayTea,Promo
2023-12-02,X/Twitter,Positive,Jakarta,6612,Video,@snackattack | SwayTea,Promo
2023-12-28,TikTok,Positive,Bandung,3890,Image,@drinkculture | SwayTea,Promo
2023-12-20,YouTube,Positive,Yogyakarta,18876,Video,@snackattack | SwayTea,Collab
2023-12-27,Instagram,Positive,Medan,14126,Carousel,@drinkculture | SwayTea,Promo
2023-12-16,Instagram,Negative,Makassar,13107,Video,@drinkculture | SwayTea,Promo
2023-12-31,TikTok,Positive,Makassar,14260,Image,@drinkculture | SwayTea,Review
2023-12-11,Instagram,Neutral,Denpasar,18862,Text,@genzfoodie | SwayTea,Promo
2023-12-08,YouTube,Positive,Makassar,15177,Text,@drinkculture | SwayTea,Collab
2023-12-15,X/Twitter,Positive,Bandung,994,Text,@tastebuds.id | SwayTea,Collab
2023-12-05,X/Twitter,Positive,Jakarta,11834,Carousel,@genzfoodie | SwayTea,Collab
2023-12-11,Instagram,Positive,Surabaya,1877,Carousel,@genzfoodie | SwayTea,Collab
2023-12-21,Instagram,Negative,Bandung,15423,Image,@snackattack | SwayTea,Promo
2023-12-02,X/Twitter,Neutral,Surabaya,10388,Text,@kulinerhits | SwayTea,Behind the Scenes
2023-12-28,YouTube,Neutral,Jakarta,11039,Image,@kulinerhits | SwayTea,Product Launch
2023-12-14,X/Twitter,Positive,Makassar,16255,Carousel,@genzfoodie | SwayTea,Behind the Scenes
2023-12-12,YouTube,Neutral,Yogyakarta,13766,Video,@snackattack | SwayTea,Promo
2023-12-02,TikTok,Neutral,Makassar,18318,Carousel,@tastebuds.id | SwayTea,Product Launch
2023-12-23,TikTok,Neutral,Bandung,3106,Image,@drinkculture | SwayTea,Behind the Scenes
2023-12-02,X/Twitter,Positive,Surabaya,2323,Text,@tastebuds.id | SwayTea,Product Launch
2023-12-15,TikTok,Positive,Bandung,1040,Text,@kulinerhits | SwayTea,Review
2023-12-04,TikTok,Neutral,Yogyakarta,8184,Carousel,@drinkculture | SwayTea,Review
2023-12-03,X/Twitter,Positive,Surabaya,12658,Image,@tastebuds.id | SwayTea,Collab
2023-12-11,YouTube,Positive,Denpasar,18967,Text,@snackattack | SwayTea,Behind the Scenes
2023-12-02,X/Twitter,Positive,Denpasar,3523,Text,@tastebuds.id | SwayTea,Collab
2023-12-13,Instagram,Positive,Denpasar,11054,Video,@kulinerhits | SwayTea,Promo
